개찰일,공고번호,공고명,발주기관,용역분류,분석구분,기초금액,실제사정율,입찰범위,현행업체수,제안업체수,변경대상,현행추천1,현행추천2,제안추천1,제안추천2,제안추천3,현행최적추천,현행최적순번,제안최적추천,제안최적순번,현행오차,제안오차,현행편향,제안편향,오차개선
2023-08-23,E012306875-1,"김해 진례 공급촉진지구 간선설치공사(단지내, 관로) 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,237902902.0,-0.1345,지역제한,2,3,True,-0.7928,-0.0723,-0.7928,-0.0723,-0.22,-0.0723,2,-0.0723,2,0.062200000000000005,0.062200000000000005,0.062200000000000005,0.062200000000000005,0.0
2023-09-01,E012307155-1,연제구 남문초등학교 통학로 지중화공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,165367904.0,-0.7478,지역제한,2,3,True,-0.2098,-0.1443,-0.2098,-0.1443,0.38,-0.2098,1,-0.2098,1,0.538,0.538,0.538,0.538,0.0
2023-10-04,E012307999-1,"동면 석산리 부산교통공사 산업용(을)고압A 10,200kw 신설공사 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,167290786.0,1.272,지역제한,2,3,True,-0.5616,-0.3086,-0.5616,-0.3086,-0.7,-0.3086,2,-0.3086,2,1.5806,1.5806,-1.5806,-1.5806,0.0
2023-10-19,E012308447-1,김해 이노비즈밸리 일반산단 단지밖 배전간선 설치공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,173059436.0,-0.7711,지역제한,2,3,True,-0.2537,-0.0924,-0.2537,-0.0924,0.34,-0.2537,1,-0.2537,1,0.5174000000000001,0.5174000000000001,0.5174000000000001,0.5174000000000001,0.0
2023-10-31,E012308762-1,"울산 다운2공공주택지구 간선설치공사(2공구,전기) 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,190365379.0,-0.4029,지역제한,2,3,True,-0.3081,-0.1199,-0.3081,-0.1199,0.32,-0.3081,1,-0.3081,1,0.0948,0.0948,0.0948,0.0948,0.0
2023-12-26,E012310630-1,감만1구역 주택 재개발 지장전주공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,149984844.0,0.1955,지역제한,2,3,True,-0.7953,-0.2119,-0.7953,-0.2119,-0.7,-0.2119,2,-0.2119,2,0.4074,0.4074,-0.4074,-0.4074,0.0
2024-01-08,E012311009-1,울산 화합로 4차(터미널사거리-시외버스삼거리) 지중화 공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,101912778.0,0.2715,지역제한,2,3,True,-0.5037,-0.1782,-0.5037,-0.1782,-0.26,-0.1782,2,-0.1782,2,0.4497,0.4497,-0.4497,-0.4497,0.0
2024-01-12,E012400123-1,중앙대로 확장 지장이설공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,159599256.0,-0.4666,지역제한,2,3,True,-0.4123,-0.1632,-0.4123,-0.1632,-0.5,-0.4123,1,-0.5,3,0.054300000000000015,0.033399999999999985,0.054300000000000015,-0.033399999999999985,0.02090000000000003
2024-02-23,E012401223-1,"괘법동 도시철도 사상하단선 501변전소 15,650kW 신설공사 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,153830609.0,0.6907,지역제한,2,3,True,-0.2255,-0.1757,-0.2255,-0.1757,-0.22,-0.1757,2,-0.1757,2,0.8664,0.8664,-0.8664,-0.8664,0.0
2024-03-05,E012401570-1,양정1구역 재개발조합 일반인요청 지중화공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,206541136.0,0.0488,지역제한,2,3,True,-0.1937,-0.1739,-0.1937,-0.1739,-0.14,-0.1739,2,-0.14,3,0.2227,0.18880000000000002,-0.2227,-0.18880000000000002,0.033899999999999986
2024-03-06,E012401653-1,154kV 북부산-삼랑진 등 2개T/L 철탑보강 등 대체공사 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,213940100.0,0.5093,지역제한,2,3,True,-0.8247,-0.1404,-0.8247,-0.1404,-0.7,-0.1404,2,-0.1404,2,0.6496999999999999,0.6496999999999999,-0.6496999999999999,-0.6496999999999999,0.0
2024-03-19,E012402126-1,"동면 가산리 부산교통공사 20,000kW 예비전력 신설공사 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,103270566.0,-0.611,지역제한,2,3,True,-0.7521,-0.0889,-0.7521,-0.0889,-0.7,-0.7521,1,-0.7,3,0.1411,0.08899999999999997,-0.1411,-0.08899999999999997,0.052100000000000035
2024-04-04,E012402831-1,동래구 동래역 일원 지중화공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,150034599.0,-0.7034,지역제한,2,3,True,-0.8702,-0.1533,-0.8702,-0.1533,-0.22,-0.8702,1,-0.8702,1,0.16679999999999995,0.16679999999999995,-0.16679999999999995,-0.16679999999999995,0.0
2024-04-08,E012403032-1,2024-2025년 서부산전력지사 가공송전협력회사 공사 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,222407900.0,0.1469,지역제한,2,3,True,-0.8698,-0.1306,-0.8698,-0.1306,-0.7,-0.1306,2,-0.1306,2,0.27749999999999997,0.27749999999999997,-0.27749999999999997,-0.27749999999999997,0.0
2024-05-22,E012404381-1,신문동 두산건설(스카이시티) 14000kW 신설 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,224857050.0,-0.0506,지역제한,2,3,True,-0.4857,-0.0944,-0.4857,-0.0944,-0.32,-0.0944,2,-0.0944,2,0.0438,0.0438,-0.0438,-0.0438,0.0
2024-05-22,E012404407-1,물금읍 복지APT재건축정비사업조합 지중화지장이설공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,105219069.0,-0.0602,지역제한,2,3,True,-0.4857,-0.0709,-0.4857,-0.0709,-0.32,-0.0709,2,-0.0709,2,0.010700000000000008,0.010700000000000008,-0.010700000000000008,-0.010700000000000008,0.0
2024-06-13,E012405159-1,삼동조일 한수원 연료전지 8.8MW 신설공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,148086099.0,0.3704,지역제한,2,3,True,-0.2459,-0.0706,-0.2459,-0.0706,-0.12,-0.0706,2,-0.0706,2,0.441,0.441,-0.441,-0.441,0.0
